n,m,Routing function,Virtual channels number,Virtual chanel buffer size,Optimal data generation rate,Optimal throughput value
5,1,1,1,1,0.25,0.2590665
5,1,1,1,2,0.75,0.765765
5,1,1,1,3,1.25,1.265335
5,1,1,1,4,1.75,1.6981
5,1,1,2,1,0.75,0.771335
5,1,1,2,2,1.75,1.685565
5,1,1,2,3,2.25,2.232565
5,1,1,2,4,2.75,2.602065
5,1,1,3,1,0.75,0.733065
5,1,1,3,2,1.75,1.738665
5,1,1,3,3,2.25,2.236535
5,1,1,3,4,2.75,2.695865
5,1,1,4,1,0.75,0.754165
5,1,1,4,2,1.75,1.769
5,1,1,4,3,2.25,2.2371
5,1,1,4,4,2.75,2.7041
5,1,0,1,1,0.25,0.2467
5,1,0,1,2,0.75,0.744665
5,1,0,1,3,1.25,1.244965
5,1,0,1,4,1.75,1.730035
5,1,0,2,1,0.75,0.771335
5,1,0,2,2,1.75,1.6874
5,1,0,2,3,2.25,2.227535
5,1,0,2,4,2.75,2.6208
5,1,0,3,1,0.75,0.7545
5,1,0,3,2,1.75,1.7793
5,1,0,3,3,2.25,2.2111
5,1,0,3,4,2.75,2.6883
5,1,0,4,1,0.75,0.761365
5,1,0,4,2,1.75,1.766035
5,1,0,4,3,2.25,2.229765
5,1,0,4,4,2.75,2.729335
7,1,0,1,1,0.35,0.3688664
7,1,0,1,2,1.05,0.960603
7,1,0,1,3,1.05,1.043231
7,1,0,1,4,1.75,1.668233
7,1,0,2,1,1.05,1.018969
7,1,0,2,2,1.75,1.748103
7,1,0,2,3,2.45,2.42557
7,1,0,2,4,3.15,2.991534
7,1,0,3,1,1.05,1.041103
7,1,0,3,2,2.45,2.30923
7,1,0,3,3,3.15,2.884497
7,1,0,3,4,2.75,2.6883
7,1,0,4,1,1.05,1.051834
7,1,0,4,2,2.45,2.334598
7,1,0,4,3,3.15,2.943766
7,1,0,4,4,3.15,3.122168
7,1,1,1,1,0.35,0.3600331
7,1,1,1,2,1.05,0.971831
7,1,1,1,3,1.05,1.019466
7,1,1,1,4,1.75,1.712501
7,1,1,2,1,1.05,1.023134
7,1,1,2,2,1.75,1.769131
7,1,1,2,3,2.45,2.468767
7,1,1,2,4,3.15,3.02477
7,1,1,3,1,1.05,1.034964
7,1,1,3,2,2.45,2.30923
7,1,1,3,3,3.15,2.881501
7,1,1,3,4,3.15,3.126767
7,1,1,4,1,1.05,1.056034
7,1,1,4,2,2.45,2.317469
7,1,1,4,3,3.15,2.966698
7,1,1,4,4,3.15,3.1689
9,1,1,1,1,0.45,0.4510998
9,1,1,1,2,0.45,0.4375998
9,1,1,1,3,1.35,1.276767
9,1,1,1,4,1.35,1.34253
9,1,1,2,1,0.45,0.4544667
9,1,1,2,2,1.35,1.333071
9,1,1,2,3,2.25,2.240235
9,1,1,2,4,3.15,3.098169
9,1,1,3,1,1.35,1.361934
9,1,1,3,2,2.25,2.259936
9,1,1,3,3,3.15,3.058866
9,1,1,3,4,3.15,3.200463
9,1,1,4,1,1.35,1.359036
9,1,1,4,2,2.25,2.275902
9,1,1,4,3,3.15,3.140766
9,1,1,4,4,3.15,3.159396
9,1,0,1,1,0.45,0.4526334
9,1,0,1,2,0.45,0.4482
9,1,0,1,3,1.35,1.267596
9,1,0,1,4,1.35,1.353771
9,1,0,2,1,0.45,0.464733
9,1,0,2,2,1.35,1.354437
9,1,0,2,3,2.25,2.220867
9,1,0,2,4,3.15,3.023865
9,1,0,3,1,1.35,1.348632
9,1,0,3,2,2.25,2.281563
9,1,0,3,3,3.15,3.092463
9,1,0,3,4,3.15,3.148632
9,1,0,4,1,1.35,1.37763
9,1,0,4,2,2.25,2.252331
9,1,0,4,3,3.15,3.142566
9,1,0,4,4,3.15,3.216204
9,2,1,1,2,4.05,4.0781637
9,2,1,1,3,4.05,4.0315644
9,2,1,1,4,4.05,4.0488012
9,2,1,2,2,12.15,12.137769
9,2,1,2,1,4.05,4.0652361
9,2,1,2,3,12.15,12.191958
9,2,1,2,4,20.25,20.138625
9,2,1,3,1,4.05,4.0622634
9,2,1,3,2,20.25,18.976437
9,2,1,3,3,20.25,20.409975
9,2,1,3,4,20.25,20.147778
9,2,1,4,1,12.15,12.097512
9,2,1,4,2,20.25,20.156688
9,2,1,4,3,20.25,20.25648
9,2,1,4,4,28.35,26.238006
9,2,0,1,2,4.05,4.0320018
9,2,0,1,3,4.05,4.0931325
9,2,0,1,4,4.05,3.9908295
9,2,0,2,2,12.15,12.186855
9,2,0,2,1,4.05,4.0781961
9,2,0,2,3,12.15,12.133152
9,2,0,2,4,20.25,20.261745
9,2,0,3,1,4.05,4.0108365
9,2,0,3,2,20.25,19.127097
9,2,0,3,3,20.25,20.121858
9,2,0,3,4,20.25,20.305242
9,2,0,4,1,12.15,12.081393
